id,title,genres,averageRating,numVotes,releaseYear
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,230389,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,213323,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,204304,2019
tt0285331,24,"Action, Crime, Drama",8.4,199304,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,196377,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183323,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178571,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,177670,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,176912,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168562,2008
tt8398600,"After Life","Comedy, Drama",8.4,156866,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156613,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,135742,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130727,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,129808,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,125975,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114121,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112359,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103124,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,99945,2016
tt9059760,"Normal People","Drama, Romance",8.4,97439,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96084,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,94904,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,87764,2018
